Treść,Kategoria
"Zimę spędza niedźwiedź w gawrze, a sen trwa od początków grudnia do końca marca.",3
W okresie godowym samice pozostawiają półtoraroczne roczne młode i na okres 2–3 tygodni łączą się z samcami. ,3
"Każdy niedźwiedź penetruje ogromny, liczący nierzadko ponad 100 km2 areał. ",3
"Zimą niedźwiedzie zapadają w sen zimowy, podczas którego obniża się ich temperetaura ciała, zmniejsza się częstotliwość oddechów i tętno.",3
"Samica karmi niedźwiedziątka mlekiem przez ok. 6 miesięcy, ale opiekuje się nimi przez 2 lata.",3
Bobry składają kastoreum na kilku lub kilkudziesięciu  kopczykach o wysokości około 10 cm.,3
"Dzik w Karkonoszach przebywa głównie w piętrze pogórza i regla dolnego, w lasach sąsiadujących z polami i uprawami rolnymi. ",3
Byki nie tworzą jednak wtedy haremu jak jelenie.,3
"Samce nie jedzą w czasie rui, chudnąc wtedy nawet do 1/5 wagi ciała.",3
"Aby samiec mógł przystąpić do rozrodu, musi najpierw to młode zaakceptować, inaczej samica go odrzuci.",3
"Konie, podobnie jak inne zwierzęta stadne, wykorzystują zmysły do lokalizacji pożywienia, szukania schronienia, komunikacji między sobą, odnajdywania partnerów do rozrodu, a także postrzegania zagrożeń.",3
"Zwierzę musi niemal błyskawicznie przeanalizować otrzymane informacje, ocenić sytuację i w sposób właściwy zareagować, szczególnie w momencie zagrożenia.",3
"Koń wówczas reaguje gwałtownie, najczęściej uderzając tylnymi nogami.",3
Ulubionym codziennym rytuałem wszystkich oliwskich żyraf jest samodzielne czesanie pod specjalnie zamontowaną w pawilonie szczotką.,3
W długie zimowe wieczory jedną z ulubionych rozrywek żyraf jest podglądanie sąsiadujących z nimi surykatek.,3
"Wilki dążą do znalezienia partnera i z entuzjazmem kończą samotniczy, najczęściej krótki okres swojego życia, trwałym związkiem i opieką nad czeredką potomstwa i wspólnym domem, czyli terytorium. ",3
Pod koniec kwietnia samica rodzi szczenięta.,3
"Gdy szczenięta podrosną i osiągają większą sprawność, opuszczają ciasną norę na dobre i spędzają czas w pobliskich, ukrytych wśród krzewów i drzew legowiskach, pod opieką starszego brata lub siostry.",3
Justyna szeroko otwartymi oczami dokoła siebie patrzała.,2
"Na każdym dziedzińcu szczekał lub bawiąc się z dziećmi wesoło skomlił jakiś Mucyk,.",3
Pod gęstymi warzywami śmigały bure i czarne koty.,3
Butne koguty z płotów i gałęzi rzucały światu przeciągłe dobranoc.,3
Stada kaczek powracających z rzeki wylatywały zza góry i z krzykiem padały na trawy.,3
Małe oczy starca spod czerwonych i nabrzmiałych powiek wzniosły się ku jego twarzy.,3
Jakby nagle blask słoneczny oświecił wyłysiałe czoło i wygładził zmarszczki starca.,3
Anzelm kroku przyśpieszał.,2
"Czapkę na czole przesunął, głową potrząsał.",2
"Zaduch, brud, nędza tchnęły z otwartej sionki, w której ciemnawym wnętrzu pokwikiwało prosię.",3
"Nagle Anzelm opuścił okolicę i z drogi, która w tym miejscu szybko w dół spadać zaczęła, skręcił w stronę, w której płynął niewidzialny stąd jeszcze Niemen.",2
" Ptaki mieszkały u szczytów tych ścian wysokich, wśród jasnych olszyn i brzóz, ale w tej głębi nie było ich prawie.",3
"Krynica warczała, strumień dzwonił i czasem w berberysowym czy wilczynowym krzaku dało się słyszeć frunięcie skrzydeł lub od strumienia przeleciał rzeźwy powiew i z cichym szelestem strącił z głogowej gałęzi liście dzikiej róży.",3
Justyna pomiędzy leszczyną stanęła i naprzód pochylona patrzała przez chwilę na utopioną w liściach i kwiatach krynicę.,2
"Justyna wpatrywała się w stary grobowiec i w pamięci jej uparcie powtarzać się zaczęła strofa pieśni, którą niedawno uniesiona wspomnieniem wydeklamowała przed nią Marta.",2
"Stolarskie narzędzie położył na stronie i na jednym z wgłębień olbrzymiego kamienia siedząc, uśmiechał się jeszcze.",2
"Wysoki zrąb kamienia, siwym mchem w tym miejscu porosły, służył za oparcie przygarbionym jego plecom, a na baranią czapkę i aż na ramiona opadały mu cienkie gałęzie ożynowego krzaku.",3
"Po puszczy chodziły stada żubrów, turów, niedźwiedziów, dzików i wilków, w gałęziach czaiły się drapieżne jastrzębie i krogulce, szerokimi skrzydłami łopotały krzywodzióbe orły.",3
"Nocami wyły puszczyki i po drzewach wieszały się rysie, w ciemności oczami jak latarniami świecące.",3
"Czasem kruki i kawki czarną chmurą zakrywały niebo, a dzikie konie napełniały zacisznoście leśne grzmotem swoich kopyt i przeraźliwym wiżdżeniem.",3
"Nad rzeką i na wszelakich mokrych miejscach lęgło się wielkie mnóstwo obrzydłych żab, tarakanów, wężów i jaszczurek.",3
"Wody były wtedy nadmiar silne i gniewliwe. Rozlewały się daleko i o ziemię biły, koryta w niej sobie prując, czego do dzisiejszego dnia te parowy pamiątką ostały.",3
"A po zimie, wiosenną porą, kry szły ogromne by stada koni dęba stających albo szklanne góry przez słonko, co się w nich przeglądało, tęczami nalane.",3
"Las dawał dzikie jabłka, orzechy, jagody i grzyby; do rzeki po napój przybiegały jelenie, daniele i sarny, które ze stad wielkich łatwo ubijać było; u góry żył lud wiewiórek, a u dołu w gęstwinach skrywała się mnogość zajęcy, łasic i kun; w wodach mieszkały wydry i bobry domki sobie budowały.",3
"Słowicze śpiewy umilały noce, a jaskółcze i gołębie gminy same przez się szukały przytułku pod dachem numy.",3
"Podczas ze sznura żurawi spadł jeden i łaskawie ostał już towarzyszem człowieka, podczas płochliwa sarna ugłaskać się pozwoliła, wiernie potem chodząc przy boku swej pani.",3
"Umilkł Anzelm, zmęczony niezwykłym wysiłkiem pamięci i myśli, kilka kropel potu zaświeciło na jego zapadłych i rozognionych policzkach, spłowiałe zwykle i blade oczy pobłyskiwały pod wielką czapką.",2
"Kobieta opuściła ręce na kolana, mężczyzna twarz oparł na dłoni.",2
"Kobieta prędko odeszła, objęła ramionami cienki pień brzozy i w szarzejącą przestrzeń patrzała rozmarzonymi oczami.",2
"Gdy oderwała wzrok od przestrzeni, zobaczyła obok siebie wysokiego mężczyznę, który, tak jak ona, stał wsparty o drzewo i długo, uparcie patrzał, nie w przestrzeń — lecz na nią.",2
"Justynie się zdawało, że słuchając tej popędliwej skargi młodzieńczej słucha samej siebie.",2
Szybko przebyła kilka stóp dzielących ją ze szczytem góry i na tym szczycie przy uśpionym zbożu stanęła ze śpiesznie oddychającą piersią i osłupiałym prawie zdziwieniem na twarzy. ,2
Silny wiatr kołysał wierzchołkami kilku rosnących na dziedzińcu topoli włoskich.,3
"Deszczowe chmury szybko biegły jedna za drugą, to zasłaniając, to odkrywając błękit nieba.",3
"Była niezadowolona z siebie samej, bo takie zbieganie się na dzień jeden robót kapitalnych uważała za błąd i złe rozporządzenie się gospodarskie.",2
Siedziała na zagonie i podnosiła głowę ku siedzącemu na płocie młodemu człowiekowi w myśliwskim ubraniu.,2
"Kirłowa patrząc na ten dość daleki, ale wyraźnie widzialny punkt przestrzeni uśmiechnęła się.",2
Wiatr zadął silniejszy jeszcze jak wprzódy i nisko giął szczyty topoli.,3
"Olchowy gaj szumiał, za nim przebłyskiwały burzące się fale Niemna.",3
Ciemna i gruba chmura w otoczeniu mniejszych i lżejszych sunęła samym środkiem nieba.,3
Ostry i zimny deszcz padać zaczął.,3
Kirłowa obejrzała się na ogród warzywny i zobaczyła młodą parę wraz z gromadką dzieci i czarnym wyżłem szybko dążącą ku małemu budynkowi.,2
"Drogą pomiędzy gajem olchowym a warzywnymi ogrodami szybko jechała i już ku otwartej bramie dziedzińca zawracała zgrabna, błyszcząca od szkieł i posrebrzeń, czterema pięknymi końmi ciągnięta kareta.",3
"Konie były w angielskich szorach, na koźle siedział brodaty stangret i młody lokaj w zielonej, pozłacanymi taśmami szamerowanej kurcie.",2
"Dziewczyna z nieckami jak wryta stanęła, szeroko oczy i usta otwierając, i żadne mrugania ani gesty gospodyni domu zruszyć jej z miejsca nie mogły.",2
"Widać było, że cieszyła się istotnie, ale zaledwie przestąpiła próg pokoju, rumieniec znowu zalał jej twarz i czoło.",2
"Na kanapce przed rozłożoną książką siedział nadąsany, jak piwonia czerwony Boleś z nogą do nogi kanapy przywiązaną.",2
"W małej bawialni swej spostrzegła nieporządki, które ją zawstydzały.",2
"Ale Kirłowa pamiętała dobrze o tym, że sypialnia, nawet najozdobniejsza, nie powinna ukazywać się oczom gości.",2
"Różyc uśmiechał się niedbale, ale zarazem i przyjaźnie.",2
"Przykrył binoklami oczy, w których przebiegły gorączkowe błyski.",2
Kirłowa obie dłonie do głowy podniosła.,2
Splotła ręce na kolanach i kołysała głową w obie strony.,2
"Różyc z żywym poruszeniem upewnił, że herbaty nigdy prawie nie pija.",2
"Kirłowa była tak zamyślona, że ostatnich słów krewnego zdawała się nie słyszeć.",2
" Wiatr ustawał, chmury rozbiegały się szybko we wszystkie strony nieba; przez gęste, wysokie bzy przedarł się promień zachodzącego słońca i pozłocił kwitnące na oknie skromne fuksje i róże miesięczne.",3
"Końce jej ładnych ust opuszczały się czasem w dół, rzucając na dolną część twarzy dwie głębokie bruzdy.",3
"Kirłowa słuchała z uwagą, potem dość długo milczała i myślała.",2
Różyc wpatrywał się w nią niby w ciekawe zjawisko.,2
"Przy ostatnich wyrazach próbował uśmiechnąć się żartobliwie, ale nerwowe drgania tak mu wstrząsały czołem, brwiami i ustami, że twarz jego przybrała wyraz bolesny, prawie tragiczny.",2
"Stała chwilę ze spuszczonymi oczami, płomiennie zarumieniona i milcząca. ",2
"Dwie duże łzy wypłynęły spod jej spuszczonych powiek i na pięknie zarysowanych, przywiędłych policzkach przeciągnęły wilgotne bruzdy.",3
Spojrzał na zegarek.,2
Niedbale machnął ręką.,2
"Jakkolwiek zobojętniały i znużony aż do bezsilności, zaśmiał się połową drgających ust.",2
"Naprawdę przelękły się tylko siedzące w kotuchach kury, które przecież stanowisk swych nie opuszczając, z postawami pełnymi powagi, wniebogłosy gdakały.",3
"Daleko, kędyś na krańcu zaniemeńskich pastwisk, słońce zachodziło pogodnie i jaskrawo, ulewą świateł napełniając przezroczysty gaj olchowy, zza którego rzadkich pni widać było pstrą trzodę na przeciwległym wybrzeżu rzeki rozsypaną.",3
Niespokojna czuła się widocznie; ze zmarszczonym czołem i wytężonym wzrokiem patrzała w stronę warzywnych ogrodów.,2
"Zbiegła z ganku, prędko przeszła dziedziniec i niedaleko małego spichrza za kilku bzowymi krzakami stanęła.",2
"Uśmiechnęła się prawdziwie po macierzyńsku, trochę żartobliwie, a trochę dumnie.",2
"Miała zakaszlać się, tak jak bywało zwykle, ilekroć mówiła ze wzburzeniem, ale wstrzymała się i tylko krztusiła się głośno.",2
"Umilkła, bo wzrok jej upadł na snop roślin, które przyniosła Justyna i na stole położyła.",2
Wąskie jej wargi zacisnęły się i pośród zmarszczek prawie zniknęły.,3
"Ciemnym, pomarszczonym palcem wskazywała bukiet, jeszcze odeń wzroku nie odrywając.",2
Tym razem Justyna głowę nad więzią roślin pochyliła.,2
"I nie mogła już wstrzymać się, zakaszlała; pomarszczone jej czoło nabiegło krwistym rumieńcem.",2
Po chwili wskazujący palec do wysokości swej twarzy podniosła i poruszyła nim w powietrzu prawie groźnie.,2
Oddychała przy tym głośno i coś po cichu mruczała.,2
"Zarzuciła nad głową szczupłe ramiona, wzdychała, oczy jej zdawały się rozszerzać, powiększać. ",2
W tym łagodnym blasku pani Emilia wiła się na pościeli w męczarniach silnego ataku nerwów.,2
"Dusiła się, śmiała się i razem płakała, obu dłońmi przyciskała serce, które biło tak, że o parę kroków uderzenia jego słyszeć było można.",2
Oprócz tego wszystkiego kaszlała jeszcze i czuła kłucie w piersi.,2
"Wahała się długo, ale usilnym prośbom syna oprzeć się nie mogąc, poszła.",2
"Wnet potem pobiegł do pokojów żony i wkrótce z nich wybiegł, obu dłońmi głowy swej dotykając.",2
"Około południa jednak pani Emilia uspokoiła się znacznie i była już tylko tak osłabiona, że aby usłyszeć, co mówiła, trzeba było ucho do ust jej przykładać.",2
"W białych muślinach i haftach leżała na pościeli z zamkniętymi oczami, z wyrazem tak cichego i łagodnego cierpienia na twarzy, że w każdym na nią patrzącym istotną litość budzić musiała.",2
"W rogu salonu z otwartą książką w ręku siedział Witold, ale nie czytał, tylko bystrym, uważnym i coraz chmurniejszym wzrokiem wpatrywał się w ojca i z kolei w siostrę.",2
"Mała, siwiejąca głowa, na sztywnym karku osadzona, uczyniła drugie z rzędu, zaledwie dostrzegalne poruszenie, tym razem twierdzące.",3
"Milczał, myślał, ze spuszczoną głową długi wąs do połowy prawie w usta wpychał i zębami zawzięcie przygryzał.",2
"Na koniec, Darzecki u jednej z kanap otoczonych fotelami zatrzymał swe drobne, poskrzypujące kroki i na jeden z fotelów opuścił się w ten sposób, że można go było wziąć za siadający posąg.",2
"Umilkł i zamyślił się najmłodszy z trzech niegdyś braci Korczyńskich, tak zamyślił się, że przypuścić było można, iż na chwilę o szwagrze i ciężkim kłopocie swym całkiem zapomniał.",2
"Młody człowiek, który plecami do salonu zwrócony stał przed jednym z okien, powoli zwrócił się ku ojcu, ale przez chwilę nie odpowiadał nic.",2
"I prędko odwróciwszy się, szerokim krokiem wyszedł z salonu.",2
"Ofuknięty znowu, zbladł jeszcze więcej niż wprzódy, cofnął się i do krwi prawie przygryzając wargę, wzrok utkwił w ziemię.",2
"Ale wielki chłopiec nie odpowiadał nic, tylko tajemniczymi gestami ręki i głowy przyzywał go ku sobie.",2
"Wielki, czarny ponter wyskoczył z kuchni, w pobliżu której stali dwaj młodzi ludzie.",3
"Justyna stawała się przeciwnie coraz bledsza, rysy jej sztywniały, oczy gasły, kilka razy ziewnęła głośno, czego jednak Orzelski, ekstazą porywany, nie spostrzegł.",2
Usłyszawszy wyraz śniadanie Orzelski jakby się ze snu obudził i chwilę tylko jeszcze ze smyczkiem na struny opuszczonym osowiałymi oczami za odchodzącą Martą popatrzał.,2
"Zamyślona była, oczy jej w klawiaturę utkwione miały wyraz pytania, które może powtarzało się w jej myśli tak uparcie, jak uparcie wiła się po niej owa daleka nuta, do której szukała wtóru.",2
"Nagle z krzesła zerwać się chciała, ale wnet znowu usiadła.",2
"Do salonu wszedł z kapeluszem w ręku, ze sztywnym jak puklerz i śnieżnie białym przodem koszuli, szeroko wyłaniającym się spośród cienkiego i starannie sporządzonego ubrania.",2
Dwie jej łzy upadły na dwa te wiersze.,3
Justyna rozgarniać zaczęła splątane ze sobą łodygi i kwiaty.,2
Z zamyślonym na ustach uśmiechem Justyna wyjęła z wielkiego bukietu gałązkę szczęścia i wplotła ją w czarny swój warkocz.,2
" Potem stanęła przed otwartym oknem z cieniutką i uperfumowaną kartką papieru, którą ze stołu wzięła.",2
"Ten młody, silny i energiczny szympans musiał zaskarbić sobie serca samic, szybko jednak zrozumiał że siłą nic nie zdziała i znacznie lepsze skutki odniesie łagodnością i czułością.",3
"Samica rodzi jedno młode, które jest karmione mlekiem do 2- 4 roku życia.",3
"Najstarsza jest Kasia, która przyjechała do oliwskiego zoo z Wielkiej Brytanii w 1977 roku jako roczne szympansiątko.",3
"Wraz z Karolem, ulubieńcem pracowników i Gości zoo, do 2004 roku Kasia tworzyła trzon szympansiej rodziny.",3
"Młode samice szympansów opiekują się swoim młodszym rodzeństwem, doświadczenie to pomaga w późniejszym odchowie własnych dzieci.",3
Joery i Goya przyjechały do oliwskiego zoo w 2006 roku z ogrodu zoologicznego w Arnhem. ,3
Joery nie od razu został zaakceptowany przez nasze samice.,3
"Aguti poświęca dużo czasu na pielęgnację sierści w celu usunięcia rozmaitych pasożytów, m.in. kleszczy i roztoczy.",3
"Poza okresem lęgowym jest to ptak bardzo towarzyski, tworzy kilkutysięczne stada.",3
"Jest to papuga społeczna, żyje w parach lub dużych grupach.",3
Samica składa średnio 3 jaja.,3
"Papuga ta żyje w parach i jest monogamiczna, ale utrzymuje stały kontakt z grupą.",3
Samica składa 2-4 jaja w dziupli i wysiaduje przez 26 dni.,3
Samiec karmi partnerkę i pomaga w wychowywaniu młodych.,3
"Papuga ta żywi się owocami, jagodami, nasionami, orzechami i nektarem.",3
"Samica składa jaja w dziupli, a samiec przez okres inkubacji przynosi jej pokarm.",3
"Po wykluciu młode karmione są przez oboje rodziców, czasem w tym procesie pomaga starsze rodzeństwo z poprzednich lęgów pary dominującej.",3
Gniazdo buduje na ziemi; samica inkubuje jaja i pielęgnuje pisklęta.,3
"Jaja, których zwykle jest 6, zaczyna wysiadywać jeszcze zanim roztopią się ostatnie śniegi na Syberii.",3
"W odróżnieniu od innych dzioborożców, samiec nie zamurowuje wejścia do gniazda.",3
W naturze samiec towarzyszy samicy wyłącznie w okresie rozrodczym.,3
"Jeleń to zwierzę dzienne, ale ze względu na strach przed drapieżnikami i człowiekiem żeruje o zmroku, a w dzień kryje się w gęstwinie. ",3
"Kangur ten zamieszkuje w Australii otwarte tereny trawiaste, z rzadka porośnięte drzewami.",3
"Po porodzie matka wylizuje na swoim brzuchu ścieżkę, po której maleństwo wspina się do wygodnej torby, gdzie ma zapewniony stały dostęp do mleka.",3
"Kapodzioby odstraszają intruza biegnąc z rozpostartymi skrzydłami, wydając przy tym dźwięki podobne do chrumkania świni.",3
"Tylko samica wysiaduje jaja, natomiast młodymi rodzice opiekują się wspólnie.",3
"Ten przedstawiciel żurawi (Gruiformes) jest doskonałym biegaczem, lata rzadko, woli chodzić.",3
"Samiec o imieniu Maciuś – odchowany  przez ludzi – przybył do Gdańska z ogrodu zoologicznego w Opolu, jego partnerka Emma pochodzi z Pragi.",3
"Kot arabski poluje głównie na drobne gryzonie, ponadto na węże i stawonogi, a  nadmiar pokarmu na następny posiłek ukrywa pod piaskiem.",3
"Duże uszy, które mogą być odchylane w kierunku poziomym i ku dołowi, doskonale wychwytują najmniejszy szmer pochodzący od  ukrywającej się zdobyczy.",3
Samica od maja do czerwca tworzy gniazdo w kształcie kopca i składa w nim od 20 do 40 jaj.,3
"Podobnie jak inne podgatunki lwów, poluje głównie na duże zwierzęta, takie jak zebry, gnu, antylopy czy guźce.",3
"Małpy te żyją w grupach rodzinnych, a w opiece nad potomstwem matce pomagają również inne samice ze stada.",3
"Kiedy samiec mandryla grozi rywalowi lub drapieżnikowi, otwiera szeroko pysk, ukazując imponujące kły o długości 6,5 cm.  ",3
"Mangustolisek znany jest z tego, że zażywa kąpieli słonecznych i odpoczynku przy swoich norach, zanim wyruszy na poszukiwanie pożywienia.",3
Tak jak inne ptaki szponiaste unika wędrówki nad dużymi zbiornikami wodnymi. Omija morza i przelatuje nad tak zwanymi wąskimi gardłami migracyjnymi.,3
"Za nim, jak nierozłączny cień jego, siedział lub chodził czarny, kudłaty kundel.",3
Czasem pies podnosił głowę i wtedy patrzali sobie w oczy.,3
Pies wyciągał się i głowę w stronę rzeki zwracał.,3
W mgnieniu oka spracowana i sucha ręka Starzyńskiej oparła się na jej kłębie.,3
W tej chwili wóz ciągnięty przez kasztanka i gniadą cicho wtoczył się na ściernisko.,3
"Lekkie przedwieczorne wiatry muskać poczęły wierzchołki niezżętych jeszcze zbóż i urywanymi akordami szmeru wtórować temu suchemu, monotonnemu, nieustannemu szelestowi, jaki wydawały łamiące się pod sierpami kłosy i z ziemi podnoszone snopy.",3
"Usiadła jednak znowu i zmieszane, niespokojne spojrzenia rzucała dokoła siebie.",2
"Jedno z tych jej spojrzeń spotkało się ze stojącą w pobliżu, znieruchomiałą postacią Jana.",3
Ona podniosła się z niskiego siedzenia swego i przed nim stanęła.,2
Z pochyloną trochę głową wyciągnęła rękę i z poważnym na ustach uśmiechem połyskujące narzędzie z ręki jego wzięła.,2
"Antolka, Elżusia, dwie inne jeszcze dziewczyny wyprostowały się na zagonach i z uśmiechami, z niedowierzaniem, ale bez zdziwienia, patrzały na schylającą się ku zbożu pannę.",2
"Jan teraz znajdował się na wozie, w połowie snopami napełnionym, a że więcej już snopów do zbierania nie było, stojąc na tym kłosistym, żółtym, sprężyście pod stopami jego uginającym się posłaniu, ze ścierniska zjeżdżał na drogę.",2
"Jan Bohatyrowicz, skręcając na drogę brzegiem ścierniska sunącą, męski swój głos połączył ze śpiewem dziewczyny, w której stronę przecież nie patrzał.",2
"Jechał powoli i twarz obracał ku temu zagonowi, na którym obok białego czepka jego matki pochylała się młoda kobieca głowa, czarnymi warkoczami owinięta.",2
"W tej chwili Justyna, która pod dyrekcją starej kilkanaście już garści żyta z trudnością i niezręcznie zżęła, ostrzem sierpa drasnęła się w rękę.",2
"Ciemną, mnóstwem istotnie śladów skaleczeń okrytą ręką oczy sobie otarła, bo zawsze płakała albo przynajmniej na płacz się jej zbierało, ilekroć o rzeczach czułych i romansowych mówiła.",2
"Puszył się zaś coraz więcej, szerokie, czerwone ręce w kieszeniach czarnych spodni zatopił i coraz dumniej po tej części państwa swego kroczył, na której tak pomyślnie gospodarowała jego rodzina.",2
"Wtem stanął, rękę z kieszeni wyjął i czyniąc z niej sobie nad oczami daszek, w stronę dwojga ludzi samotnie u brzegu ścierniska pracujących patrzał.",2
"Jan parsknął szczerym, głośnym śmiechem.",2
"Głośno z gniewu i oburzenia sapnął, ręką machnął i wyzywającym ruchem czapkę na głowie przesunąwszy, na swoje zagony wrócił.",2
"Promieniał cały, śmiał się i nie wiedzieć czemu, pochyliwszy się nagle, kilka kwiatów ze ścierniska zerwał.",2
"Szczupłym, lecz giętkim ramieniem znad ziemi podniesiona Justyna zobaczyła młodego krewnego swego, Witolda, który z głośną, dziecinną prawie wesołością w śmiechu, w oczach i na promieniejącym czole kilka razy ją po zagonie okręcił.",2
"Pomiędzy drzewami Anzelm w grubej swej sukiennej kapocie i wielkiej baraniej czapce przechadzał się z Witoldem Korczyńskim zwykłym sobie powolnym krokiem, młodego swego gościa od drzewa do drzewa prowadząc.",2
"Wyszedłszy ze stajni Anzelm jak wryty stanął przed wrotami i z ręki daszek sobie nad oczami robiąc, w głąb ogrodu patrzał.",2
"Żółty Mucyk, z lisim pyskiem i ogonem, miotał się tam jak szalony, ujadając i zarazem trwożliwie cofając się przed wielkim, czarnym wyżłem, który poprzedzał dwóch środkiem ogrodu postępujących ludzi.",3
Jednego z tych ludzi Anzelm poznał od razu.,2
"I skoczył ku domowi, w którego sieni słychać było śmiejące się głosy i huk obracanych żaren.",2
"Oparty o odrzwia wysoki mężczyzna, którego śnieżna koszula bielała, lecz rysy znikały prawie w półzmroku sionki, śmiał się cichym, w głębi piersi szemrzącym śmiechem.",2
I z wiernością niezmierną przeciągłe miauczenie kotów naśladować począł.,2
"Spuszczała jednak powieki, wargi przygryzając.",2
"Siadł na ławce u pieca stojącej, głowę nisko zwiesił, ramiona u piersi skrzyżował, nogi daleko przed siebie wyciągnął i zaniósł się żałośliwym, a do złudzenia podobnym lamentem puchacza.",2
"Wybuchnęła takim śmiechem, że aż na ziemi pod piecem przysiadła.",2
"W ogrodzie, w pełnym jeszcze słonecznych blasków świetle, Anzelm ogród swój gościowi ukazywał.",2
"Anzelm ciekawie słuchał i uważnych, zamyślonych oczu nie spuszczał z twarzy Witolda.",2
"Mówił z widocznym roztargnieniem, o czym innym myśląc, a wzrok jego coraz przenikliwiej i głębiej zatapiał się w twarzy młodzieńca.",2
"Zająknął się dlatego może, że we wnętrzu swym zaraz słowom swym zaprzeczył.",2
"Podniósł pochyloną dotąd głowę, czapkę na niej poprawił, powoli wyprostował przygarbione plecy.",2
Zrazu przy dotknięciu młodego człowieka Anzelm uchylił się nieco i zwykłym sobie trwożnym ruchem otulił się kapotą.,2
"Witold mówił jak zwykle prędko i popędliwie, z gestykulacją żywą, z ruchliwą grą rysów o czymś towarzyszowi swemu opowiadając, coś mu tłumacząc.",2
"Anzelm z przygarbionymi plecami i twarzą prawie nieruchomą słuchał go z uwagą i ciekawością, rzadko kilka słów zapytania lub odpowiedzi w rozmowę wtrącając.",2
"Wejrzenie jego coraz częściej biegło daleko, ku zaniemeńskiemu borowi, a długie, blade ręce, do połowy w rękawy kapoty wsunięte, splatały się palcami silnie — trudno było odgadnąć, czy w radości niespodziewanej, czy w żałości wspomnień.",3
"Mężczyzna trzymał w ręku garść dzikich kwiatów i ziół, które jedne po drugich kobiecie podawał.",2
"Wąska ławka nie broniła wcale przystępu do okna; owszem, Witold przyklęknął na niej i do wnętrza zajrzawszy, jednym spojrzeniem ogarnął dość szczególnie wyglądającą izdebkę.",2
Po te książki Anzelm rękę wyciągnął i jedną po drugiej podawał je Witoldowi.,2
"W ten sposób kilka tytułów przeczytał, bladym swym palcem wskazując napisy im towarzyszące, z jednostajnym zawsze brzmieniem.",2
"Głowę ku rękom splecionym pochylił i dwie grube łzy ściekły na dwie ogniste plamy, które przy ostatnich słowach wybiły się mu na policzki.",2
"Witold wpółklęcząc na niskiej ławie, o ramę okna ramieniem oparty, wpadł w zamyślenie długie i posępne.",2
"Czółno, wysłane gałęźmi srebrnej topoli, Jan silnie od brzegu odepchnął, a potem sam w nie wskoczył.",2
"Upalne słońce osypywało nieścigniony szlak wody ulewą iskier, a tu i ówdzie łamiące się w falach promienie jego tworzyły ogniska olśniewających świateł.",3
"Chwilami te ogniska wyrzucające z siebie niskie snopy promieni bladły lub całkiem gasły, a w błękitach wody, pod delikatnym rysunkiem drobnych fal, sunęły ciemne odbicia przepływających pod niebem chmur.",3
"Z przeciwnego brzegu rzeki wracające pszczoły od czasu do czasu nad głowami płynących przelatywały, ale ta opuszczała się coraz niżej, okrywającą ją żółtą lepkością jak kroplami roztopionego bursztynu na słońcu błyszcząc.",3
"Z pokojów i korytarzy w nagiej i gładkiej ścianie wykutych ptaki wylatywały coraz liczniej, czarnymi skrzydłami i śnieżnymi piersiami na jej czerwonawym i żółtym tle migocąc i szybko spuszczając się nad wodę.",3
"Szelestem ich skrzydeł spłoszona pszczoła z odzyskaną w spoczynku siłą zerwała się z brzegu czółna i z głośnym, tryumfującym brzęczeniem wzbijając się w powietrze, w kierunku parowu i okolicy uleciała.",3
"Czółno wiozące dwoje młodych ludzi skierowało się ku tym piaskom i wężowymi skrętami prześliznąwszy się pośród wielkich kamieni, nad płytką wodą z piaszczystego dna wystających, u lądu stanęło.",3
"Wielkie czworonogi tej krainy, tygrysy, tapiry i świnie pekari powyłamywały w tych żywopłotach przerwy, którymi chodziły do wody.",3
"Na szerszych, piaszczystych, wolnych od krzaków częściach wybrzeża legiwały krokodyle, często po osiem i dziesięć. Jak kłody leżały bez ruchu z otwartymi szeroko paszczami, nie okazując towarzyszom swym żadnej sympatii, co czynią zawsze zwierzęta gromadnie żyjące.",3
"Krokodyle żyjące w Apure poruszały się podczas ataku bardzo zręcznie, natomiast w chwili gdy nie były podniecone gniewem czy głodem, pełzały leniwo i ospale. ",3
"Krokodyl uczynił ten sam ruch, ale znacznie powolniej, tak że nie dosięgnął swego łupu.",3
" Zwierz leżał w cieniu drzewa z łapą na ciele upolowanej świni wodnej, otoczony sępami, zwanymi tu zamuros.",3
Z ruchu tego skorzystały natychmiast sępy i rzuciły się na jego zdobycz.,3
"Porwawszy upolowaną zwierzynę, cofnął się w las, ku wielkiemu żalowi Indian, którzy radzi by byli wylądować i zaatakować go.",3
"Ptaki siedziały obok siebie tak gęsto, że zdawały się nie móc uczynić poruszenia.",3
"Pies nasz, szczekający bezustannie, zaczynał wyć za zbliżeniem się jaguara i uciekał pomiędzy hamaki.",3
"Często po krótkiej przerwie zaczynały ryczeć z wierzchołków drzew kuguary, oraz dolatywały przeciągłe pogwizdy małp głoszących niebezpieczeństwo.",3
"Jaguary napadają świnie piżmowe, a zwierzęta te bronią się w ten sposób, te zbite w wielkie stada, pędzą na oślep, depcąc i wyrywając krzaki i zarośla.",3
"Przerażone małpy gwiżdżą z drzew, zwiększając hałas, a ptaki dopełniają koncertu.",3
"Po rzece sunęły długimi szeregami delfiny (toniny), a brzegi pokryte były ptakami rybożernymi.",3
Natychmiast niemal wypłynęło stado caribów i rzuciło się na żer.,3
